title,href,price,property_type
1 Bed Townhouse in Sundowner,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/north-riding-to-lanseria/sundowner/00-sunbird-estate/29-meteor-street/T3892708,R 470 000,Townhouse
1 Bed Apartment in Sharonlea,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/north-riding-to-lanseria/sharonlea/7-la-provence/12-suikerbossie-road/T4278658,R 475 000,Apartment
2 Bed Apartment in Northgate,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/north-riding-to-lanseria/northgate/T4403319,R 475 000,Apartment
1 Bed Apartment in Northgate,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/north-riding-to-lanseria/northgate/28-montrose-avenue/161-montrose-avenue/T4245942,R 480 000,Apartment
2 Bed Simplex in Broadacres,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/broadacres/65-the-poplar/7-poplar-avenue/T4515560,On Auction,Simplex
2 Bed Apartment in Dainfern,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/dainfern/yellowwood-yellowwood-boulevard/yellowwood-boulevard-yellowwood-boulevard/T4136119,R 300 000,Apartment
2 Bed House in Bloubosrand,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/bloubosrand/T4306775,R 320 000,House
2 Bed Apartment in Fourways,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/fourways/T4482319,Sold,Apartment
2 Bed Townhouse in Bloubosrand,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/bloubosrand/190-bridgetown/3-agulhas-road/T4277193,R 325 000,Townhouse
2 Bed House in Bloubosrand,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/bloubosrand/3-bridgetown-complex/3-agulhas-road-bloubosrand-street/T3912343,R 330 000,House
2 Bed Townhouse in Bloubosrand,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/bloubosrand/1-bridgetown-complex/1-agulhas-road/T4497956,R 350 000,Townhouse
2 Bed Townhouse in Bloubosrand,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/bloubosrand/T4303951,R 360 000,Townhouse
2 Bed House in Bloubosrand,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/bloubosrand/T4291173,R 380 000,House
2 Bed Apartment in Bloubosrand,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/bloubosrand/5-bridgetown-complex/5-agulhas-rd-bloubosrand-road/T4324642,R 385 000,Apartment
3 Bed Apartment in Bloubosrand,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/bloubosrand/3-bridgetown-complex/3-agulhas-street-bloubosrand/T4511060,R 385 000,Apartment
2 Bed House in Bloubosrand,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/bloubosrand/T4491306,R 399 000,House
2 Bed Apartment in Dainfern,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/dainfern/T4076859,R 470 000,Apartment
Studio Apartment in Paulshof,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/paulshof/T4531108,R 475 000,Apartment
