Unnamed: 0,Title,Href,Bedrooms,Bathrooms,Lounges,Kitchen,Main Value 3,Price,Floor Area,Province,City,Suburb,Area,Price per Sqm,Type,Max Price,Max Price Href,Potential Profit
4008,2 Bed Townhouse in Linmeyer,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/linmeyer/44-linridge/66-diedricks-avenue/T4406415,2.0,1.0,1.0,1.0,RatesR 552,650000.0,58.0,gauteng,johannesburg,johannesburg-south,linmeyer,11206.896551724138,,650000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/linmeyer/44-linridge/66-diedricks-avenue/T4406415,0.0
8533,3 Bed Townhouse in Mondeor,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/mondeor/T4324733,3.0,2.0,,1.0,,1200000.0,107.0,gauteng,johannesburg,johannesburg-south,mondeor,11214.953271028038,,1200000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/mondeor/T4324733,0.0
7346,3 Bed Townhouse in Ridgeway,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/ridgeway/T4333980,3.0,2.0,1.0,,,1200000.0,107.0,gauteng,johannesburg,johannesburg-south,ridgeway,11214.953271028038,,1295000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/ridgeway/T4489813,95000.0
4646,3 Bed Townhouse in Bassonia,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/bassonia/53-tiffani-gardens/41-rooigras-avenue/T4112551,3.0,2.0,1.0,,RatesR 964,1380000.0,123.0,gauteng,johannesburg,johannesburg-south,bassonia,11219.512195121952,,1380000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/bassonia/53-tiffani-gardens/41-rooigras-avenue/T4112551,0.0
7501,3 Bed Townhouse in Bassonia,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/bassonia/T4111397,3.0,2.0,1.0,1.0,RatesR 964,1380000.0,123.0,gauteng,johannesburg,johannesburg-south,bassonia,11219.512195121952,,1380000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/bassonia/53-tiffani-gardens/41-rooigras-avenue/T4112551,0.0
4461,2 Bed Apartment in Glenvista,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/glenvista/38-vista-del-monte/9-vallot-st/T4420487,2.0,2.0,1.0,,LevyR 1205,1100000.0,98.0,gauteng,johannesburg,johannesburg-south,glenvista,11224.489795918367,Apartment,1100000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/glenvista/38-vista-del-monte/9-vallot-st/T4420487,0.0
4380,3 Bed Townhouse in Aeroton,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/aeroton/125-ss-ormonde-view-estates-south-village/1-lockheed-road/T4425544,3.0,2.0,1.0,,RatesR 385,1000000.0,89.0,gauteng,johannesburg,johannesburg-south,aeroton,11235.955056179775,,1000000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/aeroton/125-ss-ormonde-view-estates-south-village/1-lockheed-road/T4425544,0.0
4983,3 Bed Townhouse in Mulbarton,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/mulbarton/29-barbados-island-villas/8-wisbeck/T4416730,3.0,2.0,1.0,,,1080000.0,96.0,gauteng,johannesburg,johannesburg-south,mulbarton,11250.0,,1080000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/mulbarton/29-barbados-island-villas/8-wisbeck/T4416730,0.0
5470,2 Bed Townhouse in Mulbarton,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/mulbarton/160-villa-bella/9-little-loop-road/T4255222,2.0,1.5,1.0,1.0,LevyR 1200,990000.0,88.0,gauteng,johannesburg,johannesburg-south,mulbarton,11250.0,,990000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/mulbarton/160-villa-bella/9-little-loop-road/T4255222,0.0
5838,2 Bed Townhouse in Oakdene,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/oakdene/33-aquila/15-lynton-place/T4511682,2.0,1.0,1.0,1.0,,789000.0,70.0,gauteng,johannesburg,johannesburg-south,oakdene,11271.42857142857,,839999.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/oakdene/T4320631,50999.0
