Area,,Title,Href,Bedrooms,Bathrooms,Lounges,Main Value 3,Price,Dining Areas,Pool,Floor Area,Land Area,Province,City,Suburb,Area,Price per Sqm,Price per Land Area,Type,Max Price,Max Price Href,Potential Profit
auckland-park,10289,3 Bed House in Auckland Park,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/northcliff/auckland-park/T4492730,3.0,2.0,1.0,,1900000.0,1.0,,,669.0,gauteng,johannesburg,northcliff,auckland-park,,2840.0597907324363,House,1990000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/northcliff/auckland-park/14-finsbury-avenue/T4473554,90000.0
auckland-park,10751,3 Bed House in Auckland Park,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/northcliff/auckland-park/T4485259,3.0,2.0,1.0,,1950000.0,1.0,1.0,,1077.0,gauteng,johannesburg,northcliff,auckland-park,,1810.5849582172702,House,1990000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/northcliff/auckland-park/14-finsbury-avenue/T4473554,40000.0
auckland-park,10769,4 Bed House in Auckland Park,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/northcliff/auckland-park/T4121294,4.0,2.0,,,2100000.0,,1.0,,668.0,gauteng,johannesburg,northcliff,auckland-park,,3143.7125748502995,House,2195000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/northcliff/auckland-park/80-st-swithins-avenue/T4508756,95000.0
auckland-park,11079,9 Bed House in Auckland Park,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/northcliff/auckland-park/T4334299,9.0,9.5,2.0,,3988000.0,2.0,1.0,,991.0,gauteng,johannesburg,northcliff,auckland-park,,4024.217961654894,House,3990000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/northcliff/auckland-park/45-putney-road/T4204601,2000.0
bedford-gardens,20771,2 Bed House in Bedford Gardens,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/bedfordview/bedford-gardens/T4136214,2.0,1.0,1.0,LevyR 1700,780000.0,,1.0,59.0,,gauteng,johannesburg,bedfordview,bedford-gardens,13220.338983050848,,House,790000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/bedfordview/bedford-gardens/T4242350,10000.0
bedford-park,22025,4 Bed House in Bedford Park,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/bedfordview/bedford-park/T3528240,4.0,3.5,2.0,,4500000.0,1.0,1.0,,,gauteng,johannesburg,bedfordview,bedford-park,,,House,4950000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/bedfordview/bedford-park/T3825232,450000.0
bedfordview,20506,10 Bed House in Bedfordview,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/bedfordview/bedfordview/108a-van-buuren-road/T4252295,10.0,9.0,6.0,RatesR 3800,5600000.0,1.0,,950.0,1678.0,gauteng,johannesburg,bedfordview,bedfordview,5894.736842105263,3337.3063170441,House,6200000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/bedfordview/bedfordview/T4495266,600000.0
bedfordview,21586,10 Bed House in Bedfordview,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/bedfordview/bedfordview/T4153103,10.0,9.0,7.0,RatesR 3800,5600000.0,6.0,,950.0,1685.0,gauteng,johannesburg,bedfordview,bedfordview,5894.736842105263,3323.4421364985164,House,6200000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/bedfordview/bedfordview/T4495266,600000.0
bedfordview,21242,4 Bed House in Bedfordview,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/bedfordview/bedfordview/T3827675,4.0,3.0,3.0,RatesR 2500,3295000.0,1.0,1.0,550.0,1685.0,gauteng,johannesburg,bedfordview,bedfordview,5990.909090909091,1955.4896142433233,House,4500000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/bedfordview/bedfordview/T3426804,1205000.0
bedfordview,20508,10 Bed House in Bedfordview,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/bedfordview/bedfordview/108a-van-buuren-road/T4325640,10.0,9.0,,RatesR 3800,5800000.0,,,950.0,1678.0,gauteng,johannesburg,bedfordview,bedfordview,6105.263157894737,3456.4958283671035,House,6200000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/bedfordview/bedfordview/T4495266,400000.0
bedfordview,20580,10 Bed House in Bedfordview,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/bedfordview/bedfordview/108-bedford-view/108-van-buuren-road/T4295920,10.0,9.0,5.0,,5800000.0,5.0,,950.0,1678.0,gauteng,johannesburg,bedfordview,bedfordview,6105.263157894737,3456.4958283671035,House,6200000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/bedfordview/bedfordview/T4495266,400000.0
bedfordview,21603,10 Bed House in Bedfordview,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/bedfordview/bedfordview/T2407298,10.0,8.0,,RatesR 3800,5800000.0,,,950.0,1678.0,gauteng,johannesburg,bedfordview,bedfordview,6105.263157894737,3456.4958283671035,House,6200000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/bedfordview/bedfordview/T4495266,400000.0
bedfordview,20510,10 Bed House in Bedfordview,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/bedfordview/bedfordview/108a-van-buuren-road/T4026171,10.0,9.0,6.0,RatesR 3800,5900000.0,3.0,,950.0,1678.0,gauteng,johannesburg,bedfordview,bedfordview,6210.526315789473,3516.0905840286055,House,6200000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/bedfordview/bedfordview/T4495266,300000.0
bedfordview,20514,10 Bed House in Bedfordview,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/bedfordview/bedfordview/108a-van-buuren-road/T4269332,10.0,9.0,7.0,RatesR 3800,6000000.0,6.0,,950.0,1678.0,gauteng,johannesburg,bedfordview,bedfordview,6315.789473684211,3575.6853396901074,House,6200000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/bedfordview/bedfordview/T4495266,200000.0
bedfordview,20120,10 Bed House in Bedfordview,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/bedfordview/bedfordview/T4497515,10.0,9.0,,RatesR 4,6100000.0,,,950.0,1678.0,gauteng,johannesburg,bedfordview,bedfordview,6421.0526315789475,3635.280095351609,House,6200000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/bedfordview/bedfordview/T4495266,100000.0
bedfordview,21642,4 Bed House in Bedfordview,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/bedfordview/bedfordview/T4417954,4.0,4.0,3.0,RatesR 7000,6400000.0,1.0,1.0,950.0,2228.0,gauteng,johannesburg,bedfordview,bedfordview,6736.8421052631575,2872.531418312388,House,7500000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/bedfordview/bedfordview/T4166531,1100000.0
benmore-gardens,8376,5 Bed House in Benmore Gardens,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/benmore-gardens/T4346507,5.0,5.0,3.0,,6999000.0,1.0,1.0,700.0,780.0,gauteng,johannesburg,sandton-and-bryanston-north,benmore-gardens,9998.57142857143,8973.076923076924,House,8500000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/benmore-gardens/T4437028,1501000.0
benmore-gardens,3848,5 Bed House in Benmore Gardens,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/benmore-gardens/17-muscovy-road/T3862221,5.0,4.5,,RatesR 5000,8499000.0,1.0,1.0,700.0,1003.0,gauteng,johannesburg,sandton-and-bryanston-north,benmore-gardens,12141.42857142857,8473.57926221336,House,8500000.0,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/sandton-and-bryanston-north/benmore-gardens/T4437028,1000.0
