,Title,Href
40,3 Bed House in Parkhurst,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/parkhurst/T4369843
41,4 Bed House in Craighall,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/craighall/T3902202
42,4 Bed House in Oaklands,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/oaklands/T3870536
43,5 Bed House in Craighall Park,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/craighall-park/T4364764
44,5 Bed House in Houghton Estate,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/houghton-estate/T4329066
45,4 Bed House in Houghton Estate,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/houghton-estate/T4236632
46,8 Bed House in Westcliff,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/westcliff/T4416145
47,2 Bed Apartment in Melrose,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/melrose/T4469672
48,2 Bed Apartment in Melrose,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/melrose/T4457309
49,3 Bed Apartment in Killarney,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/killarney/T4171317
50,2 Bed Simplex in Orchards,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/orchards/81-old-orchards-estate/51-jensen-rd/T3097167
51,2 Bed Apartment in Parktown,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/parktown/205-majestic-gate/38-empire-road-road/T4391007
52,2 Bed Apartment in Craighall Park,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/craighall-park/26-ss-arlington-terrace/12-rothesay-avenue/T4347229
53,2 Bed Apartment in Craighall,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/craighall/211-marion-court/388-jan-smuts/T11358
54,2 Bed Apartment in Melrose North,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/melrose-north/14-the-melrose/38-kernick-avenue/T4368282
55,2 Bed Apartment in Melrose Estate,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/melrose-estate/22-villa-carrara/6-somerville-avenue/T4339865
56,2 Bed Apartment in Rosebank,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/rosebank/39-ss-the-monroe/39-sturdee-avenue/T4349075
57,2 Bed Apartment in Rosebank,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/rosebank/17-tyrwhitt-avenue/T4403765
58,2 Bed Apartment in Rosebank,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/rosebank/1000-the-apex/7-hood-avenue/T4333408
59,4 Bed Apartment in Killarney,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/killarney/25-ss-mentone-court/45-1st-street/T4213722
60,5 Bed House in Savoy Estate,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/savoy-estate/10-flemming-avenue/T11328
61,2 Bed Apartment in Houghton Estate,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/houghton-estate/8046-ss-the-houghton/53-2nd-avenue/T4341222
62,3 Bed House in Parkview,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/parkview/38-westmeath-street/T4343553
63,2 Bed Apartment in Rosebank,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/rosebank/1515-the-tyrwhitt/20-tyrwhitt/T4430464
64,4 Bed Cluster in Westcliff,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/westcliff/4-pallinghurst-road/T4250099
65,3 Bed Cluster in Craighall,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/craighall/9-portland/9-portland-avenue/T4189913
66,5 Bed House in Craighall,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/craighall/48-alexandra-avenue/T4151497
67,2 Bed Apartment in Rosebank,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/rosebank/12c-the-tyrwhitt/00-cnr-bath-tyrwhitt-avenue/T4090178
68,3 Bed Cluster in Craighall,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/craighall/122-10th-rd/T4296046
69,3 Bed Apartment in Rosebank,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/rosebank/14100-the-tyrwhitt/20-tyrwhitt/T4430472
70,5 Bed House in Craighall Park,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/craighall-park/72a-rutland-avenue/T4178382
