title,href,price,property_type,main_features,key_main_features,Floor Area,Land Area,Rates,Levy,Bedrooms,Bathrooms,Province,City,Suburb,Area,Listing Number,Sold Date
1 Bed Apartment in Houghton Estate,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/houghton-estate/g28-houghton-village/6-boundary-road/T3978315,Sold,Apartment,,,59 ,,R 195,,1,1,gauteng,johannesburg,rosebank-and-parktown,houghton-estate,T3978315,2024-02-23
1 Bed Apartment in Rosebank,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/rosebank/505-one-rosebank/39-cradock-avenue/T4197083,Sold,Apartment,,,26 ,,,R 950,1,1,gauteng,johannesburg,rosebank-and-parktown,rosebank,T4197083,2024-02-23
2 Bed Apartment in Houghton Estate,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/houghton-estate/15-8th-street/T4371667,Sold,Apartment,,,114 ,,R 1800,,2,2,gauteng,johannesburg,rosebank-and-parktown,houghton-estate,T4371667,2024-02-23
4 Bed House in Houghton Estate,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/houghton-estate/44-st-andrews-road/T2401819,Sold,House,,,,1980 m²,R 2363,,4,4,gauteng,johannesburg,rosebank-and-parktown,houghton-estate,T2401819,2024-02-23
5 Bed House in Parkwood,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/parkwood/27-dudley-road/T4401081,Sold,House,,,,1008 m²,R 3106,,5,2,gauteng,johannesburg,rosebank-and-parktown,parkwood,T4401081,2024-02-23
2 Bed House in Parkhurst,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/parkhurst/37-9th-street/T4370212,Sold,House,,,,495 m²,R 2277,,2,2,gauteng,johannesburg,rosebank-and-parktown,parkhurst,T4370212,2024-02-23
966 m² Land available in Birnam,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/melrose-north/34-fort-ave/T3206340,Sold,Land,,,,966 m²,R 3500,,None,None,gauteng,johannesburg,rosebank-and-parktown,melrose-north,T3206340,2024-02-23
5 Bed House in Parkview,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/parkview/83-dundalk-avenue/T4213680,Sold,House,,,,1016 m²,R 3868,,5,3,gauteng,johannesburg,rosebank-and-parktown,parkview,T4213680,2024-02-23
3 Bed House in Parkview,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/parkview/5-kerry-road/T4294135,Sold,House,,,,1024 m²,R 3661,,3,2,gauteng,johannesburg,rosebank-and-parktown,parkview,T4294135,2024-02-23
4 Bed House in Saxonwold,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/saxonwold/5-cotswold-drive/T3997787,Sold,House,,,,2353 m²,R 4556,,4,2.5,gauteng,johannesburg,rosebank-and-parktown,saxonwold,T3997787,2024-02-23
3 Bed House in Parkview,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/parkview/93-galway-road/T4410008,Sold,House,,,,1018 m²,R 3018,,3,2.5,gauteng,johannesburg,rosebank-and-parktown,parkview,T4410008,2024-02-23
4 Bed House in Parktown North,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/parktown-north/8-2nd-avenue/T4314456,Sold,House,,,,1239 m²,R 3694,,4,4.5,gauteng,johannesburg,rosebank-and-parktown,parktown-north,T4314456,2024-02-23
4 Bed House in Parkview,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/parkview/93-kilkenny-road/T4348467,Sold,House,,,,1020 m²,R 3069,,4,4,gauteng,johannesburg,rosebank-and-parktown,parkview,T4348467,2024-02-23
3 Bed Apartment in Killarney,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/killarney/15-beverley-heights/4-riviera-rd/T3983124,Sold,Apartment,,,159 ,,,,3,2,gauteng,johannesburg,rosebank-and-parktown,killarney,T3983124,2024-02-23
1 Bed Apartment in Rosebank,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/rosebank/701-the-vantage/58-tyrwhitt-avenue/T4103432,Sold,Apartment,,,59 ,,,,1,1,gauteng,johannesburg,rosebank-and-parktown,rosebank,T4103432,2024-02-23
2 Bed Apartment in Rosebank,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/rosebank/222-one-rosebank/222-cradock-avenue/T3712146,Sold,Apartment,,,80 ,,,,2,2,gauteng,johannesburg,rosebank-and-parktown,rosebank,T3712146,2024-02-23
4 Bed House in Orchards,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/orchards/36-orchards-road/T3575712,Sold,House,,,,1372 m²None,,,4,3,gauteng,johannesburg,rosebank-and-parktown,orchards,T3575712,2024-02-23
3 Bed Cluster in Parktown North,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/parktown-north/27a-6th-avenue/T4043072,Sold,Cluster,,,,893 m²None,,,3,3.5,gauteng,johannesburg,rosebank-and-parktown,parktown-north,T4043072,2024-02-23
3 Bed House in Parkhurst,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/parkhurst/45-17th-street/T4386543,Sold,House,,,180 ,496 m²,,,3,2,gauteng,johannesburg,rosebank-and-parktown,parkhurst,T4386543,2024-02-23
2 Bed House in Parkhurst,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/parkhurst/36-5th-street/T4464496,Sold,House,,,180 ,496 m²,,,2,1,gauteng,johannesburg,rosebank-and-parktown,parkhurst,T4464496,2024-02-23
3 Bed House in Parkhurst,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/parkhurst/94-17th-street/T4317313,Sold,House,,,220 ,495 m²,,,3,2,gauteng,johannesburg,rosebank-and-parktown,parkhurst,T4317313,2024-02-23
3 Bed House in Parkhurst,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/parkhurst/73-16th-street/T4277084,Sold,House,,,,826 m²,R 2169,,3,2,gauteng,johannesburg,rosebank-and-parktown,parkhurst,T4277084,2024-02-23
3 Bed House in Parkhurst,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/parkhurst/11-16th-street/T4192039,Sold,House,,,250 ,496 m²,,,3,2,gauteng,johannesburg,rosebank-and-parktown,parkhurst,T4192039,2024-02-23
1 Bed Apartment in Parktown,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/parktown/T4146435,Sold,Apartment,,,53 ,,,R 1294,1,1,gauteng,johannesburg,rosebank-and-parktown,parktown,T4146435,2024-02-23
1 Bed Apartment in Houghton Estate,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/houghton-estate/T3927759,Sold,Apartment,,,49 ,,,R 1363,1,1,gauteng,johannesburg,rosebank-and-parktown,houghton-estate,T3927759,2024-02-23
1 Bed Apartment in Houghton Estate,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/houghton-estate/T4469881,Sold,Apartment,,,78 ,,R 549,,1,1,gauteng,johannesburg,rosebank-and-parktown,houghton-estate,T4469881,2024-02-23
1 Bed Apartment in Houghton Estate,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/rosebank-and-parktown/houghton-estate/T3761980,Sold,Apartment,,,71 ,,R 486,,1,1,gauteng,johannesburg,rosebank-and-parktown,houghton-estate,T3761980,2024-02-23
