title,href,Status,property_type,main_features,key_main_features,Floor Area,Land Area,Rates,Levy,Bedrooms,Bathrooms,Province,City,Suburb,Area,Listing Number,Sold Date,previously listed price
3 Bed House in Randpark Ridge,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/randburg-and-ferndale/randpark-ridge/8-kwartel-place/T4501518,Sold,House,"{'Land Area': '581 m²', 'Rates': 'R 1195'}","{'Bedrooms': '3', 'Bathrooms': '2', 'Dining Areas': '1', 'Garages': '2', 'Lounges': '1', 'Patio': '✔', 'Pet Friendly': '✔', 'Pool': '✔', 'Security Post': '✔', 'Staff Quarters': '✔'}",0,581,1195,0,3.0,2.0,gauteng,johannesburg,randburg-and-ferndale,randpark-ridge,T4501518,2024-03-03,1999000.0
4 Bed House in Randpark Ridge,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/randburg-and-ferndale/randpark-ridge/16-makou-street/T4160235,Sold,House,"{'Land Area': '812 m²', 'Rates': 'R 1057'}","{'Bedrooms': '4', 'Bathrooms': '3', 'Dining Areas': '1', 'Garages': '2', 'Lounges': '1', 'Flatlets': '✔', 'Patio': '✔', 'Pet Friendly': '✔', 'Pool': '✔', 'Security Post': '✔'}",0,812,1057,0,4.0,3.0,gauteng,johannesburg,randburg-and-ferndale,randpark-ridge,T4160235,2024-03-03,1995000.0
3 Bed Townhouse in Randpark Ridge,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/randburg-and-ferndale/randpark-ridge/T4082281,Sold,Townhouse,"{'Land Area': '238 m²', 'Rates': 'R 454', 'Levy': 'R 1214'}","{'Bedrooms': '3', 'Bathrooms': '2', 'En-suite': '1', 'Garages': '1', 'Lounges': '1', 'Open Parkings': '1', 'Air Con': '✔', 'Garden': '✔', 'Kitchen': '✔', 'Patio': '✔', 'Paving': '✔', 'Pet Friendly': '✔', 'Security Post': '✔', 'Storage': '✔'}",0,238,454,1214,3.0,2.0,gauteng,johannesburg,randburg-and-ferndale,randpark-ridge,T4082281,2024-03-03,1599000.0
2 Bed Apartment in Randpark Ridge,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/randburg-and-ferndale/randpark-ridge/T3963754,Sold,Apartment,"{'Floor Area': '73 m²', 'Rates': 'R 720', 'Levy': 'R 2118'}","{'Bedrooms': '2', 'Bathrooms': '2', 'Lounges': '1', 'Open Parkings': '1', 'Access Gate': '✔', 'Intercom': '✔', 'Kitchen': '✔', 'Patio': '✔'}",73,0,720,2118,2.0,2.0,gauteng,johannesburg,randburg-and-ferndale,randpark-ridge,T3963754,2024-03-03,720000.0
3 Bed Apartment in Paulshof,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/paulshof/T4459758,Sold,Apartment,"{'Rates': 'R 854', 'Levy': 'R 3027'}","{'Bedrooms': '3', 'Bathrooms': '2', 'Covered Parkings': '2', 'Dining Areas': '1', 'Lounges': '1', 'Open Parkings': '1', 'BIC': '✔', 'Kitchen': '✔', 'Pool': '✔'}",0,0,854,3027,3.0,2.0,gauteng,johannesburg,fourways-sunninghill-and-lonehill,paulshof,T4459758,2024-03-03,995000.0
2 Bed Apartment in Sunninghill,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/sunninghill/T4433584,Sold,Apartment,"{'Floor Area': '76 m²', 'Rates': 'R 629', 'Levy': 'R 1581'}","{'Bedrooms': '2', 'Bathrooms': '1', 'Covered Parkings': '1', 'Lounges': '1', 'Garden': '✔', 'Pet Friendly': '✔', 'Pool': '✔'}",76,0,629,1581,2.0,1.0,gauteng,johannesburg,fourways-sunninghill-and-lonehill,sunninghill,T4433584,2024-03-03,900000.0
3 Bed House in Dainfern,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/dainfern/T4355004,Sold,House,"{'Floor Area': '60 m²', 'Land Area': '207 m²', 'Rates': 'R 470'}","{'Bedrooms': '3', 'Bathrooms': '1', 'Lounges': '1'}",60,207,470,0,3.0,1.0,gauteng,johannesburg,fourways-sunninghill-and-lonehill,dainfern,T4355004,2024-03-03,920000.0
3 Bed Apartment in Sunninghill,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/sunninghill/38-maroela-jacaranda-palm/7-edison-crescent/T4175986,Sold,Apartment,"{'Floor Area': '146 m²', 'Levy': 'R 1195'}","{'Bedrooms': '3', 'Bathrooms': '2', 'Dining Areas': '1', 'Garages': '1', 'Lounges': '1'}",146,0,0,1195,3.0,2.0,gauteng,johannesburg,fourways-sunninghill-and-lonehill,sunninghill,T4175986,2024-03-03,950000.0
2 Bed Apartment in Sunninghill,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/sunninghill/T4343573,Sold,Apartment,"{'Floor Area': '109 m²', 'Levy': 'R 2853'}","{'Bedrooms': '2', 'Bathrooms': '1', 'Covered Parkings': '2', 'Lounges': '1', 'Open Parkings': '1', 'Pet Friendly': '✔', 'Pool': '✔'}",109,0,0,2853,2.0,1.0,gauteng,johannesburg,fourways-sunninghill-and-lonehill,sunninghill,T4343573,2024-03-03,890000.0
2 Bed Apartment in Sunninghill,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/sunninghill/228-chianti-lifestyle-estate/82-leeuwkop-road/T4452777,Sold,Apartment,"{'Land Area': '84 m²', 'Rates': 'R 1178', 'Levy': 'R 2600'}","{'Bedrooms': '2', 'Bathrooms': '2', 'Pool': '✔'}",0,84,1178,2600,2.0,2.0,gauteng,johannesburg,fourways-sunninghill-and-lonehill,sunninghill,T4452777,2024-03-03,975000.0
2 Bed Apartment in Fourways,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/fourways/368-the-view/87-broadacres-drive/T3240090,Sold,Apartment,"{'Floor Area': '103 m²', 'Land Area': '103 m²', 'Rates': 'R 730', 'Levy': 'R 2748'}","{'Bedrooms': '2', 'Bathrooms': '1', 'Covered Parkings': '1', 'Lounges': '1', 'Balcony': '✔', 'BIC': '✔', 'Kitchen': '✔', 'Patio': '✔', 'Pool': '✔', 'Security Post': '✔'}",103,103,730,2748,2.0,1.0,gauteng,johannesburg,fourways-sunninghill-and-lonehill,fourways,T3240090,2024-03-03,980000.0
2 Bed Apartment in Jukskei Park,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/fourways-sunninghill-and-lonehill/jukskei-park/T4473991,Sold,Apartment,"{'Floor Area': '81 m²', 'Rates': 'R 720', 'Levy': 'R 2500'}","{'Bedrooms': '2', 'Bathrooms': '2', 'Covered Parkings': '1', 'Dining Areas': '1', 'Lounges': '1', 'Kitchen': '✔', 'Pet Friendly': '✔', 'Pool': '✔'}",81,0,720,2500,2.0,2.0,gauteng,johannesburg,fourways-sunninghill-and-lonehill,jukskei-park,T4473991,2024-03-03,975000.0
4 Bed House in Kenilworth,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/kenilworth/T4232786,Sold,House,"{'Land Area': '495 m²', 'Rates': 'R 504'}","{'Bedrooms': '4', 'Bathrooms': '2', 'Covered Parkings': '6', 'Lounges': '2', 'Garden': '✔', 'Pet Friendly': '✔', 'Study': '✔'}",0,495,504,0,4.0,2.0,gauteng,johannesburg,johannesburg-south,kenilworth,T4232786,2024-03-03,980000.0
3 Bed House in Linmeyer,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/johannesburg-south/linmeyer/226-south-rand-road/T4174772,Sold,House,"{'Land Area': '817 m²', 'Rates': 'R 827'}","{'Bedrooms': '3', 'Bathrooms': '2', 'Dining Areas': '1', 'Garages': '2', 'Lounges': '1', 'Alarm': '✔', 'Garden': '✔'}",0,817,827,0,3.0,2.0,gauteng,johannesburg,johannesburg-south,linmeyer,T4174772,2024-03-03,1395000.0
