Unnamed: 0,Title,Href,Bedrooms,Bathrooms,Covered Parkings,Lounges,Storeys,Access Gate,Balcony,BIC,Electric Fencing,Kitchen,Security Post,Main Value 3,Price,Dining Areas,En-suite,Open Parkings,Alarm,Entrance Hall,Family Tv Room,Fenced,Fireplace,Garden,Guest Toilet,Intercom,Laundry,Pantry,Patio,Paving,Pet Friendly,Pool,Scullery,Staff Quarters,Storage,Study,Garages,Flatlets,Satellite,Wheel Chair Friendly,Main Value 4,Gym,Air Con,Scenic View,Club House,Deck,Built In Braai,Garden Cottage,Walk In Closet,Lapa,Irrigation System,Golf Course,Water Included,Furnished,Tv,Tennis Court,Spa Bath,Squash Court,Sea View,Jetty Berth,Borehole,Electricity Included,Floor Area,Land Area,Rates,Levy,Province,City,Suburb,Area,Sold Date,List ID
21093,3 Bed Townhouse in Bedford Park,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/bedfordview/bedford-park/T4034977,3,2.5,None,3,None,None,None,None,None,✔,None,LevyR 5758,Sold,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,✔,✔,None,✔,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,238 m²RatesR 2165,,R 2165,,gauteng,johannesburg,bedfordview,bedford-park,2024-02-23,T4034977
21195,3 Bed House in Bedfordview,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/bedfordview/bedfordview/T4232551,3,2,None,2,None,✔,None,None,None,✔,None,RatesR 2542,Sold,1,1,4,✔,✔,✔,None,✔,✔,None,✔,✔,✔,✔,✔,✔,✔,✔,✔,None,✔,2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,270 m²,1685 m²,,,gauteng,johannesburg,bedfordview,bedfordview,2024-02-23,T4232551
21221,4 Bed Townhouse in Bedford Park,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/bedfordview/bedford-park/T4376012,4,2.5,None,3,None,None,None,None,None,✔,None,LevyR 6592,Sold,1,None,None,None,None,None,None,None,None,None,None,None,None,None,None,✔,✔,None,✔,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,301 m²RatesR 2000,,R 2000,,gauteng,johannesburg,bedfordview,bedford-park,2024-02-23,T4376012
21236,4 Bed House in Bedfordview,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/bedfordview/bedfordview/T4164189,4,2,4,3,None,None,None,None,None,None,None,LevyR 800,Sold,None,None,None,None,None,None,None,None,✔,None,None,None,None,None,None,✔,✔,None,✔,None,✔,2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,1927 m²,R 3480,,gauteng,johannesburg,bedfordview,bedfordview,2024-02-23,T4164189
21349,3 Bed House in Bedfordview,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/bedfordview/bedfordview/T4466663,3,3.5,None,3,None,None,None,None,None,None,None,RatesR 1200,Sold,None,None,6,None,None,None,None,None,✔,None,None,None,None,None,None,✔,✔,None,✔,None,None,2,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,350 m²,1002 m²,,,gauteng,johannesburg,bedfordview,bedfordview,2024-02-23,T4466663
21389,3 Bed House in Essexwold,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/bedfordview/essexwold/T4334611,3,3.5,None,1,None,None,✔,None,None,None,✔,RatesR 3500,Sold,1,None,None,None,None,None,None,None,None,None,None,✔,None,✔,None,✔,None,None,✔,None,✔,2,None,None,None,LevyR 1570,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,471 m²,1070 m²,,,gauteng,johannesburg,bedfordview,essexwold,2024-02-23,T4334611
21504,4 Bed House in Bedfordview,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/bedfordview/bedfordview/T4433187,4,3.5,None,2,None,✔,✔,None,✔,✔,✔,LevyR 5540,Sold,1,2,2,None,✔,✔,None,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,✔,None,None,3,None,None,None,None,None,None,None,None,None,✔,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,727 m²,R 3431,,gauteng,johannesburg,bedfordview,bedfordview,2024-02-23,T4433187
21708,5 Bed House in Bedfordview,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/bedfordview/bedfordview/T4386557,5,5.5,None,2,None,✔,✔,None,✔,✔,✔,LevyR 4940,Sold,1,5,15,✔,✔,✔,None,✔,✔,✔,✔,✔,None,✔,✔,✔,✔,✔,✔,✔,✔,3,None,None,None,None,None,None,None,None,None,✔,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,,1303 m²,R 4849,,gauteng,johannesburg,bedfordview,bedfordview,2024-02-23,T4386557
21840,3 Bed Apartment in St Andrews,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/bedfordview/st-andrews/T4175686,3,2,2,2,None,✔,None,None,None,None,✔,None,Sold,1,None,None,None,None,None,None,None,None,None,✔,None,✔,None,None,✔,None,None,✔,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,195 m²None,,,,gauteng,johannesburg,bedfordview,st-andrews,2024-02-23,T4175686
22186,3 Bed Townhouse in Windsor West,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/randburg-and-ferndale/windsor-west/8-welwitschia/18-kings-avenue/T4464889,3,1,None,1,2,✔,✔,✔,None,✔,None,RatesR 450,Sold,1,None,1,✔,None,None,None,✔,✔,✔,None,✔,None,✔,✔,✔,None,None,None,None,None,1,None,None,None,LevyR 1477,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,125 m²,1985 m²,,,gauteng,johannesburg,randburg-and-ferndale,windsor-west,2024-02-23,T4464889
22189,3 Bed Townhouse in Windsor West,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/randburg-and-ferndale/windsor-west/7-sun-village/12-premiers-avenue/T4464034,3,2,None,1,2,✔,None,✔,✔,✔,None,RatesR 463,Sold,1,1,1,None,None,None,✔,None,✔,None,None,✔,None,None,✔,None,✔,None,None,✔,None,1,None,None,None,LevyR 2046,None,None,None,None,None,None,None,✔,None,None,None,None,None,None,None,None,None,None,None,None,None,130 m²,4457 m²,,,gauteng,johannesburg,randburg-and-ferndale,windsor-west,2024-02-23,T4464034
