title,href,price,property_type,main_features,key_main_features,Floor Area,Land Area,Rates,Levy,Bedrooms,Bathrooms,Province,City,Suburb,Area,Listing Number,Sold Date
3 Bed House in Dowerglen and Ext,https://www.privateproperty.co.za/for-sale/gauteng/east-rand/edenvale/dowerglen-and-ext/T4398427,Sold,House,"{'Floor Area': '396 m²', 'Land Area': '1238 m²', 'Rates': 'R 2718', 'Levy': 'R 1600'}","{'Bedrooms': '3', 'Bathrooms': '3', 'Covered Parkings': '2', 'Dining Areas': '1', 'Lounges': '1', 'Pet Friendly': '✔', 'Pool': '✔', 'Security Post': '✔', 'Study': '✔'}",396,1238,2718,1600,3.0,3.0,gauteng,east-rand,edenvale,dowerglen-and-ext,T4398427,2024-03-09
3 Bed House in Welgedacht,https://www.privateproperty.co.za/for-sale/gauteng/east-rand/springs/welgedacht/55-3rd-ave/T4124750,Sold,House,"{'Floor Area': '195 m²', 'Land Area': '1046 m²', 'Rates': 'R 447'}","{'Bedrooms': '3', 'Bathrooms': '1', 'Garages': '1', 'Lounges': '1', 'Built In Braai': '✔', 'Staff Quarters': '✔', 'Tv': '✔'}",195,1046,447,0,3.0,1.0,gauteng,east-rand,springs,welgedacht,T4124750,2024-03-09
2 Bed Apartment in Ferndale,https://www.privateproperty.co.za/for-sale/gauteng/johannesburg/randburg-and-ferndale/ferndale/17-strathfern/332-surrey-avenue/T4459707,Sold,Apartment,"{'Floor Area': '93 m²', 'Land Area': '4019 m²', 'Rates': 'R 324', 'Levy': 'R 1573'}","{'Bedrooms': '2', 'Bathrooms': '2', 'Garages': '2', 'Pool': '✔'}",93,4019,324,1573,2.0,2.0,gauteng,johannesburg,randburg-and-ferndale,ferndale,T4459707,2024-03-09
2 Bed Townhouse in Kyalami Hills,https://www.privateproperty.co.za/for-sale/gauteng/midrand/kyalami-hills/T4077994,Sold,Townhouse,"{'Floor Area': '117 m²', 'Land Area': '370 m²', 'Rates': 'R 1000', 'Levy': 'R 968'}","{'Bedrooms': '2', 'Bathrooms': '2.5', 'Dining Areas': '1', 'Garages': '1', 'Lounges': '1', 'Balcony': '✔', 'Guest Toilet': '✔', 'Patio': '✔', 'Pet Friendly': '✔', 'Security Post': '✔'}",117,370,1000,968,2.0,2.5,gauteng,midrand,kyalami-hills,kyalami-hills,T4077994,2024-03-09
2 Bed Apartment in Greenhills,https://www.privateproperty.co.za/for-sale/gauteng/west-rand/randfontein/greenhills/12-jirah/2-pierneef-rd/T4363652,Sold,Apartment,"{'Floor Area': '55 m²', 'Rates': 'R 1020', 'Levy': 'R 590'}","{'Bedrooms': '2', 'Bathrooms': '1', 'Covered Parkings': '1', 'Lounges': '1', 'Garden': '✔'}",55,0,1020,590,2.0,1.0,gauteng,west-rand,randfontein,greenhills,T4363652,2024-03-09
2 Bed Apartment in Wilgeheuwel,https://www.privateproperty.co.za/for-sale/gauteng/west-rand/roodepoort/wilgeheuwel/T4463037,Sold,Apartment,"{'Floor Area': '51 m²', 'Land Area': '1.5 ha', 'Rates': 'R 420', 'Levy': 'R 1012'}","{'Bedrooms': '2', 'Bathrooms': '1', 'Covered Parkings': '1', 'Lounges': '1', 'Access Gate': '✔', 'BIC': '✔', 'Club House': '✔', 'Electric Fencing': '✔', 'Fenced': '✔', 'Garden': '✔', 'Kitchen': '✔', 'Patio': '✔', 'Security Post': '✔'}",51,15,420,1012,2.0,1.0,gauteng,west-rand,roodepoort,wilgeheuwel,T4463037,2024-03-09
5 Bed House in Florida Hills,https://www.privateproperty.co.za/for-sale/gauteng/west-rand/roodepoort/florida-hills/T4481876,Sold,House,"{'Land Area': '1616 m²', 'Rates': 'R 1458', 'Levy': 'R 1'}","{'Bedrooms': '5', 'Bathrooms': '4', 'Dining Areas': '1', 'En-suite': '1', 'Garages': '4', 'Lounges': '2', 'Open Parkings': '4', 'Access Gate': '✔', 'Alarm': '✔', 'Balcony': '✔', 'Built In Braai': '✔', 'Electric Fencing': '✔', 'Entrance Hall': '✔', 'Family Tv Room': '✔', 'Fenced': '✔', 'Garden': '✔', 'Guest Toilet': '✔', 'Kitchen': '✔', 'Pantry': '✔', 'Patio': '✔', 'Paving': '✔', 'Pet Friendly': '✔', 'Pool': '✔', 'Storage': '✔', 'Study': '✔'}",0,1616,1458,1,5.0,4.0,gauteng,west-rand,roodepoort,florida-hills,T4481876,2024-03-09
8 Bed House in Constantia Kloof,https://www.privateproperty.co.za/for-sale/gauteng/west-rand/roodepoort/constantia-kloof/1-veronica-street/T3835730,Sold,House,"{'Floor Area': '342 m²', 'Land Area': '1794 m²', 'Rates': 'R 1136', 'Levy': 'R 1'}","{'Bedrooms': '8', 'Bathrooms': '6', 'En-suite': '2', 'Garages': '2', 'Lounges': '4', 'Open Parkings': '8', 'Access Gate': '✔', 'Air Con': '✔', 'Alarm': '✔', 'Built In Braai': '✔', 'Flatlets': '✔', 'Garden': '✔', 'Kitchen': '✔', 'Patio': '✔', 'Paving': '✔', 'Pet Friendly': '✔', 'Pool': '✔', 'Scullery': '✔'}",342,1794,1136,1,8.0,6.0,gauteng,west-rand,roodepoort,constantia-kloof,T3835730,2024-03-09
2 Bed Townhouse in Wilro Park,https://www.privateproperty.co.za/for-sale/gauteng/west-rand/roodepoort/wilro-park/00-de-galdery/2a-graphite-road/T4172927,Sold,Townhouse,"{'Floor Area': '101 m²', 'Land Area': '1.4 ha', 'Rates': 'R 296', 'Levy': 'R 1251'}","{'Bedrooms': '2', 'Bathrooms': '2', 'Dining Areas': '1', 'En-suite': '1', 'Garages': '1', 'Lounges': '1', 'Open Parkings': '1', 'Storeys': '1', 'Access Gate': '✔', 'Built In Braai': '✔', 'BIC': '✔', 'Electric Fencing': '✔', 'Entrance Hall': '✔', 'Fenced': '✔', 'Garden': '✔', 'Intercom': '✔', 'Kitchen': '✔', 'Patio': '✔', 'Paving': '✔', 'Pet Friendly': '✔', 'Pool': '✔'}",101,14,296,1251,2.0,2.0,gauteng,west-rand,roodepoort,wilro-park,T4172927,2024-03-09
3 Bed Townhouse in Willowbrook,https://www.privateproperty.co.za/for-sale/gauteng/west-rand/roodepoort/willowbrook/23-ss-tamarana/1313-van-der-kloof-road/T4411443,Sold,Townhouse,"{'Floor Area': '123 m²', 'Land Area': '1313 m²', 'Rates': 'R 617', 'Levy': 'R 1766'}","{'Bedrooms': '3', 'Bathrooms': '2', 'Dining Areas': '1', 'En-suite': '1', 'Garages': '2', 'Lounges': '1', 'Open Parkings': '2', 'Access Gate': '✔', 'Air Con': '✔', 'Alarm': '✔', 'Electric Fencing': '✔', 'Family Tv Room': '✔', 'Garden': '✔', 'Kitchen': '✔', 'Paving': '✔', 'Pet Friendly': '✔', 'Security Post': '✔'}",123,1313,617,1766,3.0,2.0,gauteng,west-rand,roodepoort,willowbrook,T4411443,2024-03-09
